"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 12:34:43 IST 2022","Thu Nov 03 12:34:47 IST 2022","3680","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""intro""",""
"passed","Thu Nov 03 12:50:01 IST 2022","Thu Nov 03 12:50:15 IST 2022","14385","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""emotional""",""
"failed","Thu Nov 03 12:37:36 IST 2022","Thu Nov 03 12:37:44 IST 2022","8451","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""pop colture""",""
"passed","Thu Nov 03 12:49:28 IST 2022","Thu Nov 03 12:49:48 IST 2022","19588","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""earth""",""
"passed","Thu Nov 03 12:40:24 IST 2022","Thu Nov 03 12:40:27 IST 2022","3443","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""spaceship""",""
"failed","Thu Nov 03 12:45:55 IST 2022","Thu Nov 03 12:45:56 IST 2022","527","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""artgrid""",""
"failed","Thu Nov 03 12:22:53 IST 2022","Thu Nov 03 12:23:10 IST 2022","16993","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""Eye Candy""",""
"failed","Thu Nov 03 12:48:29 IST 2022","Thu Nov 03 12:48:31 IST 2022","1623","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""cinematic shot""",""
"failed","Thu Nov 03 12:57:12 IST 2022","Thu Nov 03 12:57:12 IST 2022","436","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""valetines""",""
"failed","Thu Nov 03 12:52:39 IST 2022","Thu Nov 03 12:52:40 IST 2022","759","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""melting statue""",""
